Date,Close
2005-06-17,380.27
2005-06-20,379.05
2005-06-21,381.39
2005-06-22,382.36
2005-06-23,383.2
2005-06-24,379.97
2005-06-27,377.27
2005-06-28,381.84
2005-06-29,383.34
2005-06-30,383.83
2005-07-01,388.26
2005-07-04,389.84
2005-07-05,389.11
2005-07-06,390.33
2005-07-07,383.8
2005-07-08,388.6
2005-07-11,390.93
2005-07-12,389.35
2005-07-13,391.91
2005-07-14,393.72
2005-07-15,393.68
2005-07-18,392.88
2005-07-19,396.96
2005-07-20,395.58
2005-07-21,395.93
2005-07-22,394.3
2005-07-25,394.54
2005-07-26,395.55
2005-07-27,395.1
2005-07-28,394.97
2005-07-29,395.77
2005-08-01,396.96
2005-08-02,397.98
2005-08-03,396.92
2005-08-04,394.68
2005-08-05,391.31
2005-08-08,391.43
2005-08-09,395.88
2005-08-10,401.57
2005-08-11,400.15
2005-08-12,396.06
2005-08-15,395.66
2005-08-16,394.64
2005-08-17,393.53
2005-08-18,391.38
2005-08-19,393.97
2005-08-22,394.67
2005-08-23,391.73
2005-08-24,389.86
2005-08-25,386.93
2005-08-26,385.15
2005-08-29,385.65
2005-08-30,386.08
2005-08-31,389.6
2005-09-01,389.88
2005-09-02,389.31
2005-09-05,391.46
2005-09-06,394.15
2005-09-07,394.3
2005-09-08,393.92
2005-09-09,394.91
2005-09-12,395.7
2005-09-13,393.3
2005-09-14,393.9
2005-09-15,394.92
2005-09-16,398.1
2005-09-19,399.16
2005-09-20,401.41
2005-09-21,396.48
2005-09-22,393.61
2005-09-23,394.33
2005-09-26,399.37
2005-09-27,398.13
2005-09-28,401.99
2005-09-29,400.41
2005-09-30,402.99
2005-10-03,407.84
2005-10-04,408.66
2005-10-05,404.96
2005-10-06,399.89
2005-10-07,398.66
2005-10-10,398.27
2005-10-11,397.9
2005-10-12,393.7
2005-10-13,391.37
2005-10-14,394.31
2005-10-17,394.31
2005-10-18,393.92
2005-10-19,387.06
2005-10-20,389.06
2005-10-21,386.08
2005-10-24,389.73
2005-10-25,388.68
2005-10-26,390.71
2005-10-27,386.09
2005-10-28,385.95
2005-10-31,394.16
2005-11-01,394.62
2005-11-02,397.12
2005-11-03,399.91
2005-11-04,399.53
2005-11-07,401.14
2005-11-08,402.8
2005-11-09,403.89
2005-11-10,406.3
2005-11-11,410.82
2005-11-14,412.03
2005-11-15,412.61
2005-11-16,410.77
2005-11-17,413.24
2005-11-18,416.24
2005-11-21,417.55
2005-11-22,418.52
2005-11-23,419.79
2005-11-24,417.84
2005-11-25,418.3
2005-11-28,417.63
2005-11-29,420.33
2005-11-30,418.79
2005-12-01,426.17
2005-12-02,429.48
2005-12-05,428.85
2005-12-06,432.67
2005-12-07,431.52
2005-12-08,432.23
2005-12-09,431.13
2005-12-12,432.8
2005-12-13,433.17
2005-12-14,430.95
2005-12-15,432.08
2005-12-16,436.17
2005-12-19,435.31
2005-12-20,435.46
2005-12-21,438.99
2005-12-22,438.45
2005-12-23,439.16
2005-12-27,440.32
2005-12-28,439.1
2005-12-29,440.87
2005-12-30,436.78
2006-01-02,440.52
2006-01-03,441.93
2006-01-04,445
2006-01-05,443.13
2006-01-06,446.11
2006-01-09,447.88
2006-01-10,443.9
2006-01-11,446.31
2006-01-12,447.4
2006-01-13,441.37
2006-01-16,441.99
2006-01-17,438.51
2006-01-18,434.21
2006-01-19,436.62
2006-01-20,432.2
2006-01-23,431.88
2006-01-24,431.51
2006-01-25,436.46
2006-01-26,443.63
2006-01-27,449.67
2006-01-30,450.7
2006-01-31,450.5
2006-02-01,455.7
2006-02-02,450.41
2006-02-03,451.27
2006-02-06,452.52
2006-02-07,453.03
2006-02-08,452.62
2006-02-09,457.87
2006-02-10,456.26
2006-02-13,459.48
